Resort,Latitude,Longitude,State
Steamboat,40.4538,-106.7709,CO
Howelsen Hill-Steamboat Springs,40.485,-106.8317,CO
Crested Butte,38.8991,-106.9658,CO
Jackson Hole,43.5942,-110.8437,WY
Park City,40.6589,-111.5468,UT
Arapahoe Basin,39.64167,-105.87167,CO
Winter Park Resort,39.885750,-105.763528,CO
Alta,40.5777,-111.624,UT
Aspen Mountain,39.18639,-106.81861,CO
Aspen Highlands,39.18111,-106.85639,CO
Squaw Valley,39.1906,-120.2484,CA
Vail,39.6061,-106.355,CO
Snowbasin,41.2006,-111.8614,UT
Beaver Creek,39.6017,-106.5316,CO
Breckenridge,39.4783,-106.0723,US
Big Sky Resort,45.275,-111.43194,MT
Snowmass,39.1895,-106.9497,CO
Powder Mountain,41.38,-111.78028,UT
Keystone,39.605,-105.95417,CO
Killington,43.6094,-72.7968,VT
Copper Mountain,39.50167,-106.15639,CO
Sugarloaf,45.0541,-70.3085,TV
Taos,36.596,-105.4545,PO
Snowbird,40.58111,-111.65639,UT
Mt. Rose,39.32917,-119.88583,NV
Mt. Baker,48.7766298,-121.8144732,WA
Alpine Meadows,39.164,-120.239,CA
Deer Valley,40.620028,-111.443250,UT
Wolf Creek,37.48333,-106.80306,CO
Mission Ridge,47.292,-120.399,WA
Mt. Bachelor,44.003,-121.677,OR
Northstar California Resort,39.264,-120.125,CA
Schweitzer Mountain Resort,48.367,-116.623,ID
Heavenly,38.9287,-119.9051,NV
Loveland,39.68,-105.897,CO
Stratton,43.1134,-72.9081,VT
Bald Mountain-Sun Valley,43.670694,-114.368556,ID
Whitefish Mountain Resort,48.4106,-114.3353,MT
Mt. Hood Meadows,45.32889,-121.6625,OR
Sugar Bowl,39.3007,-120.3348,CA
Mammoth Mountain,37.6389,-119.0262,CA
Telluride,37.9167,-107.8375,CO
Sugarbush,44.1362,-72.9079,US
Purgatory-Durango,37.62972,-107.81444,WA
Sunday River,44.4684,-70.8774,US
Smugglers' Notch,44.572167,-72.774556,VT
Jay Peak,44.924184297,-72.525628839,VT
Angel Fire,36.386583,-105.271917,New Mexico
Bridger Bowl-Bozeman,45.818,-110.897,MT
Brian Head,37.683,-112.833,WA
Stowe,44.5275,-72.7839,NC
Okemo,43.4104,-72.729,VT
49 Degrees North Mountain Resort,48.301,-117.563,WA
Bear Valley,38.4926,-120.0443,CA
Brighton,40.6,-111.58333,UT
Mt. Hood Skibowl,45.3019,-121.7733,OR
Kirkwood,38.68422,-120.064806,CA
Red Lodge Mountain,45.1908,-109.3364,GP
Solitude,40.615139,-111.588917,UT
Alyeska Resort-Girdwood,60.9705,-149.0982,AK
Mount Snow,42.959,-72.922,US
Gore Mountain,43.67222,-74.00694,NY
Bretton Woods,44.25972,-71.46222,NH
Apache,33.397194,-105.789083,NM
Hunter Mountain,42.200278,-74.230278,NY
Eldora Mountain,39.9375,-105.58361,CO
Donner Ski Ranch,39.318472,-120.329528,California
Whiteface-Lake Placid,44.354028,-73.862389,New York
The Summit at Snoqualmie,47.424,-121.416,WA
Tamarack Resort,44.671,-116.123,ID
Summit Ski Area at Mt. Hood,45.32889,-121.6625,OR
Bolton Valley,44.419621,-72.849998,VT
Montage Mountain Resort,41.3533,-75.6592,PA
Sandia Peak,35.2070056,-106.4134472,WA
Crystal Mountain,46.9282,-121.5045,WA
Stevens Pass,47.745,-121.0933,WA
Loon Mountain,44.03597,-71.62144,NH
