id,time,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weathercode,weather_description
22,2025-04-20,25.1,34.9,280,4.7,-6.0,-1.7,-10.0,3,Overcast
22,2025-04-21,48.0,67.0,257,10.2,-0.2,1.3,-5.7,3,Overcast
22,2025-04-22,35.4,50.8,256,9.5,0.2,5.4,-4.0,3,Overcast
22,2025-04-23,30.6,45.7,236,9.8,-1.1,5.9,-4.8,85,Snow showers: Slight
22,2025-04-24,16.4,41.0,290,9.3,-1.7,6.3,-4.8,85,Snow showers: Slight
22,2025-04-25,11.8,36.7,82,11.1,-0.7,8.6,-4.7,3,Overcast
22,2025-04-26,27.5,47.9,187,11.8,-1.2,6.7,-5.2,71,Snow fall: Slight intensity
23,2025-04-20,23.1,30.2,261,11.1,-2.0,5.1,-6.4,3,Overcast
23,2025-04-21,39.8,59.8,259,16.6,2.2,9.5,-2.9,3,Overcast
23,2025-04-22,36.3,53.3,260,15.9,2.9,11.9,-1.6,3,Overcast
23,2025-04-23,37.4,45.4,234,16.5,3.2,12.3,0.2,51,Drizzle: Light intensity
23,2025-04-24,35.8,36.7,300,15.1,2.8,11.9,0.4,53,Drizzle: Moderate intensity
23,2025-04-25,13.7,23.8,95,16.2,4.0,13.5,0.7,51,Drizzle: Light intensity
23,2025-04-26,30.8,47.2,183,17.6,2.5,12.1,-0.8,51,Drizzle: Light intensity
25,2025-04-20,19.8,28.8,302,5.7,-6.3,1.4,-12.1,3,Overcast
25,2025-04-21,24.5,34.6,292,11.6,-3.1,6.9,-7.4,3,Overcast
25,2025-04-22,25.6,38.9,285,10.7,-0.6,6.5,-5.0,3,Overcast
25,2025-04-23,22.8,36.7,232,10.7,-0.4,5.9,-4.5,51,Drizzle: Light intensity
25,2025-04-24,21.3,29.9,262,11.4,0.3,7.2,-3.2,3,Overcast
25,2025-04-25,16.7,22.7,116,9.4,0.6,6.0,-3.4,85,Snow showers: Slight
25,2025-04-26,25.5,49.7,176,11.2,-0.9,6.8,-4.7,51,Drizzle: Light intensity
26,2025-04-20,34.9,42.5,269,4.1,-0.7,1.2,-6.6,71,Snow fall: Slight intensity
26,2025-04-21,31.7,46.8,260,3.2,-3.4,-1.9,-9.1,3,Overcast
26,2025-04-22,42.2,48.6,276,6.9,-5.3,2.7,-12.1,3,Overcast
26,2025-04-23,20.4,34.9,244,6.5,-1.4,2.2,-5.6,86,Snow showers: Heavy
26,2025-04-24,9.4,13.0,79,8.4,-3.6,5.6,-6.9,3,Overcast
26,2025-04-25,18.1,19.8,56,10.7,-2.3,6.7,-7.0,51,Drizzle: Light intensity
26,2025-04-26,22.7,32.4,176,10.4,0.1,6.5,-2.9,51,Drizzle: Light intensity
27,2025-04-20,21.9,30.6,268,4.7,-2.9,0.7,-8.6,3,Overcast
27,2025-04-21,29.0,47.2,244,5.9,-0.2,2.2,-6.4,3,Overcast
27,2025-04-22,16.8,31.0,251,9.2,-0.9,5.9,-6.1,2,Partly cloudy
27,2025-04-23,16.3,31.0,255,8.3,1.7,4.2,-1.7,55,Drizzle: Dense intensity
27,2025-04-24,12.7,20.2,293,10.2,0.7,7.6,-3.1,3,Overcast
27,2025-04-25,12.8,25.9,110,9.7,2.8,6.1,-1.5,51,Drizzle: Light intensity
27,2025-04-26,41.8,48.6,193,8.3,1.1,4.0,-4.9,85,Snow showers: Slight
29,2025-04-20,24.9,38.5,298,-0.4,-9.4,-5.6,-14.2,71,Snow fall: Slight intensity
29,2025-04-21,36.7,50.8,267,6.5,-7.1,-0.3,-12.5,3,Overcast
29,2025-04-22,27.9,46.1,266,6.5,-4.0,2.6,-9.0,85,Snow showers: Slight
29,2025-04-23,21.3,41.4,245,6.7,-4.8,2.4,-9.4,51,Drizzle: Light intensity
29,2025-04-24,12.6,36.0,258,5.8,-4.3,2.6,-8.5,86,Snow showers: Heavy
29,2025-04-25,13.7,31.0,121,4.5,-3.4,2.1,-7.0,85,Snow showers: Slight
29,2025-04-26,15.9,38.2,222,5.5,-5.3,3.1,-10.0,85,Snow showers: Slight
79,2025-04-20,24.0,37.4,305,5.0,-5.8,-0.4,-10.1,71,Snow fall: Slight intensity
79,2025-04-21,35.0,58.3,275,11.4,-3.3,4.4,-8.6,3,Overcast
79,2025-04-22,24.3,43.2,272,10.8,-1.0,6.4,-5.2,85,Snow showers: Slight
79,2025-04-23,26.4,43.2,228,11.5,-1.1,6.9,-5.0,53,Drizzle: Moderate intensity
79,2025-04-24,25.7,39.6,281,11.6,-0.8,8.1,-3.7,85,Snow showers: Slight
79,2025-04-25,12.7,9.4,109,10.0,-1.7,7.8,-5.2,85,Snow showers: Slight
79,2025-04-26,10.9,28.4,141,8.9,-2.7,7.1,-6.8,53,Drizzle: Moderate intensity
87,2025-04-20,19.5,31.0,285,2.4,-5.1,-1.5,-11.3,3,Overcast
87,2025-04-21,26.6,51.1,245,2.7,-3.3,-1.7,-10.0,3,Overcast
87,2025-04-22,15.8,33.1,255,7.6,-5.5,4.2,-10.6,2,Partly cloudy
87,2025-04-23,16.3,34.2,255,6.7,0.1,2.4,-3.5,55,Drizzle: Dense intensity
87,2025-04-24,12.7,24.8,293,8.6,-0.9,5.9,-4.8,3,Overcast
87,2025-04-25,12.8,31.7,110,8.1,1.2,4.4,-3.3,51,Drizzle: Light intensity
87,2025-04-26,41.8,45.0,193,6.7,-0.5,2.2,-6.7,85,Snow showers: Slight
88,2025-04-20,22.3,27.7,321,9.6,-3.6,4.8,-7.4,3,Overcast
88,2025-04-21,28.7,43.2,215,14.9,1.3,9.8,-4.3,3,Overcast
88,2025-04-22,24.9,36.0,261,14.8,4.3,11.0,-1.7,51,Drizzle: Light intensity
88,2025-04-23,22.5,36.7,216,15.8,2.0,11.2,-1.6,53,Drizzle: Moderate intensity
88,2025-04-24,12.1,28.4,321,14.4,1.1,11.9,-2.8,51,Drizzle: Light intensity
88,2025-04-25,16.6,21.6,127,16.2,2.9,13.8,-0.3,53,Drizzle: Moderate intensity
88,2025-04-26,19.8,51.1,182,14.8,1.2,12.7,-2.5,51,Drizzle: Light intensity
89,2025-04-20,21.1,27.4,337,9.1,-3.9,4.3,-8.0,3,Overcast
89,2025-04-21,25.8,49.0,226,14.1,-0.1,9.6,-5.6,3,Overcast
89,2025-04-22,21.0,32.8,242,14.1,3.6,11.2,-1.4,51,Drizzle: Light intensity
89,2025-04-23,22.5,36.7,216,15.5,1.7,10.9,-1.9,53,Drizzle: Moderate intensity
89,2025-04-24,12.1,28.4,321,14.1,0.8,11.6,-3.1,51,Drizzle: Light intensity
89,2025-04-25,16.6,21.6,127,15.9,2.6,13.4,-0.7,53,Drizzle: Moderate intensity
89,2025-04-26,19.8,51.1,182,14.5,0.9,12.3,-2.8,51,Drizzle: Light intensity
90,2025-04-20,16.8,26.3,291,9.5,0.2,8.5,-4.6,45,Fog and depositing rime fog
90,2025-04-21,13.1,32.4,271,10.6,0.3,10.1,-3.2,3,Overcast
90,2025-04-22,23.7,30.6,261,12.5,2.7,8.7,-1.0,3,Overcast
90,2025-04-23,22.9,30.2,223,13.9,-0.4,12.4,-3.6,2,Partly cloudy
90,2025-04-24,19.3,24.8,239,11.6,0.3,8.3,-2.7,53,Drizzle: Moderate intensity
90,2025-04-25,25.9,39.6,235,8.3,-2.6,4.1,-6.1,3,Overcast
90,2025-04-26,25.8,49.3,233,4.3,-5.9,-1.9,-11.5,73,Snow fall: Moderate intensity
91,2025-04-20,28.3,34.9,296,0.5,-9.9,-5.8,-15.1,71,Snow fall: Slight intensity
91,2025-04-21,40.0,61.6,267,6.2,-5.9,-2.0,-11.5,3,Overcast
91,2025-04-22,32.8,48.6,268,5.9,-3.9,0.9,-9.9,85,Snow showers: Slight
91,2025-04-23,24.1,40.3,230,6.7,-3.6,1.2,-7.4,51,Drizzle: Light intensity
91,2025-04-24,19.6,34.2,272,6.5,-4.1,3.3,-7.6,85,Snow showers: Slight
91,2025-04-25,15.5,20.9,149,4.4,-2.8,2.0,-6.8,85,Snow showers: Slight
91,2025-04-26,20.3,39.6,186,5.9,-5.7,2.0,-10.4,73,Snow fall: Moderate intensity
93,2025-04-20,27.1,38.5,240,8.6,1.8,4.0,-3.3,3,Overcast
93,2025-04-21,29.0,41.8,248,8.6,1.5,3.9,-2.4,3,Overcast
93,2025-04-22,23.2,38.5,246,10.6,-0.3,7.9,-5.4,3,Overcast
93,2025-04-23,14.3,38.5,187,9.9,1.9,6.5,-1.9,51,Drizzle: Light intensity
93,2025-04-24,11.6,32.0,86,12.7,-0.5,10.3,-5.0,3,Overcast
93,2025-04-25,14.5,32.8,92,12.3,3.8,8.0,-0.8,51,Drizzle: Light intensity
93,2025-04-26,47.0,57.6,163,11.6,1.4,5.3,-3.7,73,Snow fall: Moderate intensity
94,2025-04-20,27.3,35.6,291,6.2,-6.0,0.1,-11.2,3,Overcast
94,2025-04-21,42.2,59.8,297,11.4,-1.0,3.4,-7.1,3,Overcast
94,2025-04-22,34.7,47.2,300,11.2,1.7,6.0,-4.0,51,Drizzle: Light intensity
94,2025-04-23,18.6,34.6,191,11.5,-0.3,7.6,-4.5,51,Drizzle: Light intensity
94,2025-04-24,21.0,35.6,201,10.6,-0.6,7.7,-4.5,85,Snow showers: Slight
94,2025-04-25,11.3,15.8,120,10.9,0.4,8.3,-3.4,85,Snow showers: Slight
94,2025-04-26,20.0,43.6,181,10.5,-1.4,8.1,-5.9,51,Drizzle: Light intensity
98,2025-04-20,25.6,42.8,305,3.5,-6.9,-0.9,-12.6,71,Snow fall: Slight intensity
98,2025-04-21,28.9,61.6,263,8.5,-3.0,3.8,-9.8,71,Snow fall: Slight intensity
